,title,price_VND,location,area_m2,number_of_bedrooms
0,"Prosper Plaza  DT50m2 giá 1.9 tỷ, DT65m2 gía 2.15",2150000000,12,65.0,2
1,"Căn Hộ Prosper Phan Văn Hớn Có Sổ Giá Chỉ 1,850 Tỷ",1850000000,12,54.0,2
2,"chuyên bán căn hộ sky9, 1,2,3pn giá từ 900tr > 3ty",1600000000,9,53.0,2
3,Căn hộ tẩng 33 River Gate Q.4  74m2. 2PN 2WC B3302,4600000000,4,75.0,2
4,DIAMOND RIVERSIDE MỚI CAO CẤP 3 PN 2.850 Tỷ,2850000000,8,84.0,3
5,CĂN HỘ DỰ ÁN CITY GATE 3  QUẬN 8,1250000000,8,52.0,1
7,CĂN HỘ ĐẸP VIEW CÔNG VIÊN GIA ĐỊNH 88M2 GIÁ 5.6 TỶ,5600000000,Phú Nhuận,88.0,3
8,BÁN CĂN HỘ 2 PHÒNG GIÁ TẦNG PHONG THUỶ GIÁ 4.27 TỶ,4270000000,Tân Bình,74.0,2
9,Cắt lỗ căn 3PN view sông VinQ9 TT 900tr vào Ở Ngay,2750000000,9,81.5,3
10,Chung cư Dream Home Palace 61.75m² 2PN,1673000000,8,61.75,2
11,CĂN HỘ VƯỜN NHẬT ORIGAMI CĐT VINHOMES VAY100%,2800000000,9,45.6,1
12,Chung cư PiCity High Park 67m² 2PN,39000000,12,67.0,2
13,"Chính chủ chuyển nhượng CC Quận 8 64m² 2PN, 2WC",1650000000,8,64.0,2
14,Chung cư Carillon 7 105m² 3PN,3850000000,Tân Phú,105.0,3
15,Chung cư 67.61m² 2PN Q7 Sài Gòn Riverside Complex,2550000000,7,67.61,2
16,"HEAVEN, CHUNG CƯ QUẬN 8, GIÁ RẺ,Ở NGAY CÁCH Q1 15P",1500000000,8,60.0,2
17,Căn hộ CityGate 1 full nội thất lầu thấp,2350000000,8,70.0,2
18,CHUNG CƯ PICITY SMARTHOME 4.0 - TRẢ TRƯỚC CHỈ 760,760000000,12,65.0,2
19,"Căn Hộ Cao Cấp The Pegasuite, 2PN, 3PN, NT Cao Cấp",2350000000,8,60.0,2
20,Chính chủ cần bán Chung cư Quận 8 62m² 2 PN,1700000000,8,62.0,2
21,Bán nhanh CH Lavita Charm rẻ bất ngờ mùa dịch,2800000000,Thủ Đức,67.0,2
22,"Bán căn hộ trả góp, trả trước 790tr chia ra 5 đợt",790000000,12,58.0,2
23,LAVITA CHARM 2PN-2WC CHỈ 2.5TỈ BAO PHÍ VIEW HỒ BƠI,2600000000,Thủ Đức,68.0,2
24,BÁN NHANH 2PN - 76M2 - NỘI THẤT CAO CẤP -VIEW SÔNG,3900000000,2,76.0,2
25,"Prosper Plaza  DT50m2 giá 1.9 tỷ, DT65m2 gía 2.15",2150000000,12,65.0,2
26,"Căn Hộ Prosper Phan Văn Hớn Có Sổ Giá Chỉ 1,850 Tỷ",1850000000,12,54.0,2
27,"chuyên bán căn hộ sky9, 1,2,3pn giá từ 900tr > 3ty",1600000000,9,53.0,2
28,Căn hộ tẩng 33 River Gate Q.4  74m2. 2PN 2WC B3302,4600000000,4,75.0,2
29,DIAMOND RIVERSIDE MỚI CAO CẤP 3 PN 2.850 Tỷ,2850000000,8,84.0,3
30,CĂN HỘ DỰ ÁN CITY GATE 3  QUẬN 8,1250000000,8,52.0,1
32,CĂN HỘ ĐẸP VIEW CÔNG VIÊN GIA ĐỊNH 88M2 GIÁ 5.6 TỶ,5600000000,Phú Nhuận,88.0,3
33,BÁN CĂN HỘ 2 PHÒNG GIÁ TẦNG PHONG THUỶ GIÁ 4.27 TỶ,4270000000,Tân Bình,74.0,2
34,Cắt lỗ căn 3PN view sông VinQ9 TT 900tr vào Ở Ngay,2750000000,9,81.5,3
35,Chung cư Dream Home Palace 61.75m² 2PN,1673000000,8,61.75,2
36,CĂN HỘ VƯỜN NHẬT ORIGAMI CĐT VINHOMES VAY100%,2800000000,9,45.6,1
37,Chung cư PiCity High Park 67m² 2PN,39000000,12,67.0,2
38,"Chính chủ chuyển nhượng CC Quận 8 64m² 2PN, 2WC",1650000000,8,64.0,2
39,Chung cư Carillon 7 105m² 3PN,3850000000,Tân Phú,105.0,3
40,Chung cư 67.61m² 2PN Q7 Sài Gòn Riverside Complex,2550000000,7,67.61,2
41,"HEAVEN, CHUNG CƯ QUẬN 8, GIÁ RẺ,Ở NGAY CÁCH Q1 15P",1500000000,8,60.0,2
42,Căn hộ CityGate 1 full nội thất lầu thấp,2350000000,8,70.0,2
43,CHUNG CƯ PICITY SMARTHOME 4.0 - TRẢ TRƯỚC CHỈ 760,760000000,12,65.0,2
44,"Căn Hộ Cao Cấp The Pegasuite, 2PN, 3PN, NT Cao Cấp",2350000000,8,60.0,2
45,Chính chủ cần bán Chung cư Quận 8 62m² 2 PN,1700000000,8,62.0,2
46,Bán nhanh CH Lavita Charm rẻ bất ngờ mùa dịch,2800000000,Thủ Đức,67.0,2
47,"Bán căn hộ trả góp, trả trước 790tr chia ra 5 đợt",790000000,12,58.0,2
48,LAVITA CHARM 2PN-2WC CHỈ 2.5TỈ BAO PHÍ VIEW HỒ BƠI,2600000000,Thủ Đức,68.0,2
49,BÁN NHANH 2PN - 76M2 - NỘI THẤT CAO CẤP -VIEW SÔNG,3900000000,2,76.0,2
50,2PN Vinhomes Quận 9 full nội thất được trả góp 80%,440000000,9,59.0,2
51,BÁN GẤP CĂN HIM LAM CHỢ LỚN 102M2 3 PHÒNG NGỦ,4500000000,6,102.0,3
52,Chung cư 57m² 2PN 2WC Phường Bình Chiểu Thủ Đức,1650000000,Thủ Đức,57.0,2
53,"HEAVEN, CHUNG CƯ QUẬN 8, GIÁ RẺ,Ở NGAY CÁCH Q1 15P",1500000000,8,60.0,2
54,CĂN HỘ GIÁ TỐT PROSPER VIEW ĐẸP Ở NGAY - ĐÃ CÓ SỔ,2150000000,12,65.0,2
55,Căn Hộ Hoa Hậu tại The Pegasuite với TK 2 ban công,3100000000,8,75.0,2
56,"Bán lỗ gấp căn hộ SunriseCity South, 2PN , 106m2",4050000000,7,106.0,2
58,Bán Gắp The Gold View 50m² 1 PN đang kẹt Tiền,3000000000,4,50.0,1
59,CĂN HỘ NGAY UBND BÌNH CHÁNH 5 MẶT TIỀN CHỈ 660TR,2200000000,Bình Chánh,59.0,2
60,"Chung cư Q12 68m2,2PN,2WC, Giảm 50tr mua mùa dịch",1550000000,12,68.0,2
61,Bán Nhanh Căn Hộ 2PN The Sun Avenue,3900000000,2,75.0,2
62,Bán CC arillon 7 86m² 3PN rẻ hơn thị trường 100tr,3100000000,Tân Phú,86.0,3
63,mua nhà sài gòn 600tr? có hồ bơi và công viên,600000000,Bình Chánh,65.0,2
64,Chung cư Hồ Văn Huê Phú Nhuận 2PN,2670000000,Phú Nhuận,54.0,2
65,Bán căn hộ 2PN +1 WC Lovera Vista nhận nhà ở ngay,1700000000,Bình Chánh,52.0,2
66,Chính chủ bán lỗ căn Citi Grand Q2,2295000000,2,60.0,2
67,"Căn hộ Millennium 74m² 2PN VIEW BITEXCO, HỒ BƠI",5990000000,4,74.0,2
68,cần bán gấp chính chủ ký bán,1600000000,Bình Chánh,48.0,2
69,Chính chủ cắt lỗ cănhộ 1PN+ VinhomesGrandPark 47m2,1293000000,9,47.0,2
70,Chung cư Saigonhomes 75m² 3 PN 2 WC,2030000000,Bình Tân,75.0,3
71,"Căn hộ Ngô Tất Tố 2PN-1Toliet,66m2 Full NT P19 BT.",2750000000,Bình Thạnh,66.0,2
72,Chung cư Saigon Homes Bình Tân 70m² 2PN 2WC,1850000000,Bình Tân,70.0,2
73,CĂN HỘ CENTUM WEATH 2PN-2WC GIÁ 2.6TỈ FULL PHÍ,2600000000,9,68.0,2
74,LAVITA CHARM 2.1TỈ-1PN-2WC BAO PHÍ,2100000000,Thủ Đức,51.0,1
75,BÁN OFFICÊTEL 1PN LAVITA CHARM GIÁ 1.7TỈ THÔI Ợ,1700000000,Thủ Đức,51.0,2
76,9 VIEW CHỈ CẦN 700TR NHẬN NGAY CĂN 2PN VIEW LANMAR,1400000000,9,65.0,2
77,Căn Shop-House Mặt tiền nhựa 12m Kinh Doanh SHR,2900000000,12,87.0,2
78,Chung cư Topaz Home 70m² 3PN,2100000000,12,70.0,3
79,Chung cư Quận Bình Tân 70m² 2 PN hàng CĐT mới 100%,2030000000,Bình Tân,70.0,2
80,CHÍNH CHỦ BÁN NHANH CĂN 2PN 67M2 GIÁ 2TỶ650TRIỆU,2600000000,Thủ Đức,68.0,2
81,Chung cư Moonlight Residences 51m² 1PN 2.3tỉ,2300000000,Thủ Đức,51.0,1
82,TỔNG HỢP CÁC CĂN 2PN-2WC TẠI 9VIEW TỪ 1.4TỈ BP,1400000000,9,58.0,2
